642,Nacho Vidal,Pretemporada,DF,C.A. Osasuna
365,Rubén Duarte,Pretemporada,DF,D. Alavés
1069,Antonio Sanchez,Pretemporada,MC,RCD Mallorca
1124,Ángel,Pretemporada,DC,RCD Mallorca
1208,Lejeune,Pretemporada,DF,D. Alavés
284,Navas,Pretemporada,DF,Sevilla FC
846,Josan,Pretemporada,MC,Elche CF
768,Foulquier,Pretemporada,DF,Valencia CF
1263,Chust,Pretemporada,DF,Cádiz CF
1024,Cárdenas,Pretemporada,PO,Levante UD
1121,Balliu,Pretemporada,DF,Rayo Vallecano
160,Maxi Gómez,Pretemporada,DC,Valencia CF
216,Bardhi,Pretemporada,MC,Levante UD
1255,Mamardashvili,Pretemporada,PO,Valencia CF
1209,Nteka,Pretemporada,MC,Rayo Vallecano
1300,Camavinga,Pretemporada,MC,Real Madrid
1308,Pepelu,Pretemporada,MC,Levante UD
680,Moi Gómez,Pretemporada,MC,Villarreal CF
1302,Gumbau,Pretemporada,MC,Elche CF
1327,Ferran Torres,Pretemporada,DC,FC Barcelona
1130,Eric García,Pretemporada,DF,FC Barcelona
302,Gayá,Pretemporada,DF,Valencia CF
876,Guillamón,Pretemporada,MC,Valencia CF
743,Rober Pier,Pretemporada,DF,Levante UD
415,EnNesyri,Pretemporada,DC,Sevilla FC
888,Dani Gómez,Pretemporada,DC,Levante UD
1288,Delaney,Pretemporada,MC,Sevilla FC
653,Estupiñán,Pretemporada,DF,Villarreal CF
309,Lee KangIn,Pretemporada,MC,RCD Mallorca
850,Juan Cruz,Pretemporada,DF,C.A. Osasuna
1187,Lamela,Pretemporada,DC,Sevilla FC
923,Raúl Guti,Pretemporada,MC,Elche CF
1186,Pathé Ciss,Pretemporada,MC,Rayo Vallecano
71,Balenziaga,Pretemporada,DF,Athletic Club
675,Óliver Torres,Pretemporada,MC,Sevilla FC
1289,Sorloth,Pretemporada,DC,Real Sociedad
1220,Nico,Pretemporada,MC,FC Barcelona
700,Óscar Duarte,Pretemporada,DF,Levante UD
874,Oscar,Pretemporada,MC,Getafe CF
1183,Sandro,Pretemporada,DC,Getafe CF
293,Nolito,Pretemporada,DC,RC Celta
1290,Galhardo,Pretemporada,DC,RC Celta
1305,Bellerín,Pretemporada,DF,Real Betis
211,Vezo,Pretemporada,DF,Levante UD
1328,Tecatito Corona,Pretemporada,DC,Sevilla FC
1197,Kubo,Pretemporada,MC,RCD Mallorca
73,Lekue,Pretemporada,DF,Athletic Club
72,De Marcos,Pretemporada,DF,Athletic Club
319,Cillessen,Pretemporada,PO,Valencia CF
812,Alejo,Pretemporada,DC,Cádiz CF
1070,De Galarreta,Pretemporada,MC,RCD Mallorca
1201,Edgar,Pretemporada,DF,Real Betis
92,Vesga,Pretemporada,MC,Athletic Club
1301,Yangel Herrera,Pretemporada,MC,RCD Espanyol
300,Diakhaby,Pretemporada,DF,Valencia CF
1139,Toni Moya,Pretemporada,MC,D. Alavés
265,Zubeldia,Pretemporada,DF,Real Sociedad
1098,Saveljich,Pretemporada,DF,Rayo Vallecano
1116,Melamed,Pretemporada,MC,RCD Espanyol
887,Son,Pretemporada,MC,Levante UD
1312,Falcao,Pretemporada,DC,Rayo Vallecano
807,Akapo,Pretemporada,DF,Cádiz CF
124,Guardado,Pretemporada,MC,Real Betis
1042,Bebé,Pretemporada,DC,Rayo Vallecano
938,Dest,Pretemporada,DF,FC Barcelona
1048,Keidi Bare,Pretemporada,MC,RCD Espanyol
898,Tapia,Pretemporada,MC,RC Celta
654,Roberto Torres,Pretemporada,MC,C.A. Osasuna
539,Lodi,Pretemporada,DF,Atlético de Madrid
226,Miramón,Pretemporada,DF,Levante UD
794,Édgar Méndez,Pretemporada,MC,D. Alavés
913,Yunus,Pretemporada,MC,Valencia CF
166,Hermoso,Pretemporada,DF,Atlético de Madrid
955,Diego Glez,Pretemporada,DF,Elche CF
1326,Escalante,Pretemporada,MC,D. Alavés
609,Quini,Pretemporada,DF,Granada CF
918,Pedri,Pretemporada,MC,FC Barcelona
736,Gonalons,Pretemporada,MC,Granada CF
910,Víctor Ruiz,Pretemporada,DF,Real Betis
1341,Lo Celso,Pretemporada,MC,Villarreal CF
1323,Rafinha,Pretemporada,MC,Real Sociedad
537,Felipe,Pretemporada,DF,Atlético de Madrid
215,Campaña,Pretemporada,MC,Levante UD
1243,Aleix Vidal,Pretemporada,DF,RCD Espanyol
341,Jaume Costa,Pretemporada,DF,RCD Mallorca
1115,Óscar Gil,Pretemporada,DF,RCD Espanyol
822,Salvi Sánchez,Pretemporada,DC,Rayo Vallecano
1144,Alarcón,Pretemporada,MC,Cádiz CF
1004,Rodri,Pretemporada,MC,Real Betis
809,Iza,Pretemporada,DF,Cádiz CF
905,Claudio Bravo,Pretemporada,PO,Real Betis
1179,Diego Rico,Pretemporada,DF,Real Sociedad
597,Neva,Pretemporada,DF,Granada CF
742,Thierry Correia,Pretemporada,DF,Valencia CF
951,Carrillo,Pretemporada,DC,Elche CF
1075,Brian Oliván,Pretemporada,DF,RCD Espanyol
651,Kike Barja,Pretemporada,DC,C.A. Osasuna
864,Jonsson,Pretemporada,MC,Cádiz CF
1194,Idrissi,Pretemporada,DC,Cádiz CF
1329,Borja Mayoral,Pretemporada,DC,Getafe CF
1001,Javi Martínez,Pretemporada,MC,C.A. Osasuna
1352,Muriqi,Pretemporada,DC,RCD Mallorca
895,Zarraga,Pretemporada,MC,Athletic Club
1293,Marcos André,Pretemporada,DC,Valencia CF
304,Wass,Pretemporada,DF,Atlético de Madrid
82,Unai López,Pretemporada,MC,Rayo Vallecano
374,Tomás Pina,Pretemporada,MC,D. Alavés
1324,Dani Alves,Pretemporada,DF,FC Barcelona
1298,Escudero,Pretemporada,DF,Granada CF
683,Gudelj,Pretemporada,MC,Sevilla FC
606,Montoro,Pretemporada,MC,Granada CF
1077,Russo,Pretemporada,DF,RCD Mallorca
919,Malsa,Pretemporada,MC,Levante UD
1108,Manu García,Pretemporada,MC,D. Alavés
875,Racic,Pretemporada,MC,Valencia CF
1199,Battaglia,Pretemporada,MC,RCD Mallorca
1090,Raíllo,Pretemporada,DF,RCD Mallorca
1138,Kiko Casilla,Pretemporada,PO,Elche CF
649,Unai García,Pretemporada,DF,C.A. Osasuna
378,Pere Pons,Pretemporada,MC,D. Alavés
204,Aitor Fdez,Pretemporada,PO,C.A. Osasuna
1166,Morlanes,Pretemporada,MC,RCD Espanyol
353,Iborra,Pretemporada,MC,Villarreal CF
143,Hugo Mallo,Pretemporada,DF,RC Celta
307,Coquelin,Pretemporada,MC,Villarreal CF
1318,Nico Williams,Pretemporada,DC,Athletic Club
118,Mandi,Pretemporada,DF,Villarreal CF
1023,Helibelton Palacios,Pretemporada,DF,Elche CF
